央视频道,#genre#
CCTV-1FHD,http://183.242.49.77/live/CCTV1x综合/index.m3u8
CCTV-2FHD,http://183.242.49.77/live/CCTV2x财经/index.m3u8
CCTV-3FHD,http://183.242.49.77/live/CCTV3x综艺/index.m3u8
CCTV-4FHD,http://183.242.49.77/live/CCTV4x国际/index.m3u8
CCTV-5FHD,http://183.242.49.77/live/CCTV5x体育/index.m3u8
CCTV-6FHD,http://183.242.49.77/live/CCTV6x电影/index.m3u8
CCTV-7FHD,http://183.242.49.77/live/CCTV7x军农/index.m3u8
CCTV-8FHD,http://183.242.49.77/live/CCTV8x电视剧/index.m3u8
CCTV-9FHD,http://183.242.49.77/live/CCTV9x纪录/index.m3u8
CCTV-10FHD,http://183.242.49.77/live/CCTV10x科教/index.m3u8
CCTV-11FHD,http://183.242.49.77/live/CCTV11x戏曲/index.m3u8
CCTV-12FHD,http://183.242.49.77/live/CCTV12x社会与法/index.m3u8
CCTV-13FHD,http://183.242.49.77/live/CCTV13x新闻/index.m3u8
CCTV-14FHD,http://183.242.49.77/live/CCTV14x少儿/index.m3u8
CCTV-15FHD,http://183.242.49.77/live/CCTV15x音乐/index.m3u8
卫视频道,#genre#
湖南卫视,http://183.242.49.77/live/湖南卫视/index.m3u8
浙江卫视,http://183.242.49.77/live/浙江卫视/index.m3u8
江苏卫视,http://183.242.49.77/live/江苏卫视/index.m3u8
安徽卫视,http://183.242.49.77/live/安徽卫视/index.m3u8
天津卫视,http://183.242.49.77/live/天津卫视/index.m3u8
辽宁卫视,http://183.242.49.77/live/辽宁卫视/index.m3u8
山东卫视,http://183.242.49.77/live/山东卫视/index.m3u8
云南卫视,http://183.242.49.77/live/云南卫视/index.m3u8
河南卫视,http://183.242.49.77/live/河南卫视/index.m3u8
四川卫视,http://183.242.49.77/live/四川卫视/index.m3u8
江西卫视,http://183.242.49.77/live/江西卫视/index.m3u8
贵州卫视,http://183.242.49.77/live/贵州卫视/index.m3u8
深圳卫视,http://183.242.49.77/live/深圳卫视/index.m3u8
湖北卫视,http://183.242.49.77/live/湖北卫视/index.m3u8
黑龙江卫视,http://183.242.49.77/live/黑龙江卫视/index.m3u8
内蒙古卫视,http://183.242.49.77/live/内蒙古卫视/index.m3u8
东方卫视,http://183.242.49.77/live/东方卫视/index.m3u8
重庆卫视,http://183.242.49.77/live/重庆卫视/index.m3u8
东南卫视,http://183.242.49.77/live/东南卫视/index.m3u8
河北卫视,http://183.242.49.77/live/河北卫视/index.m3u8
广东卫视,http://183.242.49.77/live/广东卫视/index.m3u8
广西卫视,http://183.242.49.77/live/广西卫视/index.m3u8
吉林卫视,http://183.242.49.77/live/吉林卫视/index.m3u8
陕西卫视,http://183.242.49.77/live/陕西卫视/index.m3u8
山西卫视,http://183.242.49.77/live/山西卫视/index.m3u8
青海卫视,http://183.242.49.77/live/青海卫视/index.m3u8
宁夏卫视,http://183.242.49.77/live/宁夏卫视/index.m3u8
西藏卫视,http://183.242.49.77/live/西藏卫视/index.m3u8
新疆卫视,http://183.242.49.77/live/新疆卫视/index.m3u8
甘肃卫视,http://183.242.49.77/live/甘肃卫视/index.m3u8
