央视,#genre#
CCTV1HD,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226226/1.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225922/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226226/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226527/index.m3u8#http://120.241.133.167/outlivecloud-cdn.ysp.cctv.cn/cctv/2000210103.m3u8#http://120.221.5.113:8089/PLTV/88888888/224/3221225859/index.m3u8#http://120.221.5.111:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV2HD,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225923/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226468/index.m3u8#http://120.221.5.101:8089/PLTV/88888888/224/3221225751/index.m3u8#http://120.241.133.167/outlivecloud-cdn.ysp.cctv.cn/cctv/2000203603.m3u8
CCTV3HD,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-3/1.m3u8#http://223.110.241.130:6610/gitv/live1/G_CCTV-3-HQ/.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226431/index.m3u8#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-3/1.m3u8#http://39.135.19.139:18890/PLTV/88888888/224/3221226040/1/index.m3u8?fmt=ts2hls#http://120.221.5.113:8089/PLTV/88888888/224/3221225889/index.m3u8#http://223.110.241.130:6610/gitv/live1/G_CCTV-3-HQ/.m3u8#http://120.241.133.167/outlivecloud-cdn.ysp.cctv.cn/cctv/2000203803.m3u8
CCTV4HD,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226314/1.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225802/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226314/1.m3u8#http://39.135.19.139:18890/PLTV/88888888/224/3221225744/1/index.m3u8?fmt=ts2hls#http://120.221.5.101:8089/PLTV/88888888/224/3221225757/index.m3u8#http://120.221.5.113:8089/PLTV/88888888/224/3221225757/index.m3u8#http://120.221.5.50:8089/PLTV/88888888/224/3221225757/index.m3u8#http://211.137.115.110:8080/gitv_live/G_CCTV-4-HD/G_CCTV-4-HD.m3u8#http://183.232.184.143/outlivecloud-cdn.ysp.cctv.cn/cctv/2000204803.m3u8#https://cctvalih5c.v.myalicdn.com/live/cdrmcctv4_1td.m3u8#http://27.148.240.138/PLTV/88888888/224/3221226784/1.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225802/1.m3u8#http://mlive1.91kds.cn/b9/aishang.m3u8?id=cctv4hd
CCTV5HD,http://112.17.40.6:80/PLTV/88888888/224/3221226400/index.m3u8
CCTV5+HD,http://112.17.40.6:80/PLTV/88888888/224/3221226166/index.m3u8
CCTV6HD,http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-6/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226433/index.m3u8#http://39.135.19.139:18890/PLTV/88888888/224/3221226011/1/index.m3u8?fmt=ts2hls#http://39.135.19.139:18890/PLTV/88888888/224/3221226046/1/index.m3u8?fmt=ts2hls#http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-6/1.m3u8#http://120.221.5.113:8089/PLTV/88888888/224/3221225893/index.m3u8#http://36.159.12.236/PLTV/88888888/224/3221226483/index.m3u8#http://112.17.40.7:80/PLTV/88888888/224/3221226487/1.m3u8
CCTV7HD,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226234/1.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225927/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226122/index.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226234/1.m3u8
CCTV8HD,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-8/1.m3u8#http://39.135.15.70:6610/PLTV/88888888/224/3221226005/1/index.m3u8?fmt=ts2hls#http://112.17.40.140/PLTV/88888888/224/3221226330/index.m3u8#http://120.221.5.113:8089/PLTV/88888888/224/3221225897/index.m3u8
CCTV9HD,http://112.50.243.8/PLTV/88888888/224/3221225820/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226561/index.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8
CCTV10HD,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226227/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225814/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226472/index.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226227/1.m3u8#http://120.221.5.113:8089/PLTV/88888888/224/3221225761/index.m3u8#http://120.221.5.50:8089/PLTV/88888888/224/3221225761/index.m3u8 
CCTV11HD,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226315/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225815/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226219/index.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226315/1.m3u8
CCTV12HD,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226228/1.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225816/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226563/index.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226228/1.m3u8
CCTV13HD,http://36.152.7.33/tlivecloud-cdn.ysp.cctv.cn/ysp/2000204603.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226193/index.m3u8#http://39.135.19.139:18890/PLTV/88888888/224/3221225748/1/index.m3u8?fmt=ts2hls#http://120.221.5.113:8089/PLTV/88888888/224/3221225949/index.m3u8#http://120.241.133.167/outlivecloud-cdn.ysp.cctv.cn/cctv/2000204603.m3u8#http://210.22.242.108/live-cnc-cdn.ysp.cctv.cn/ysp/2000204603.m3u8#http://210.22.242.108/live-cnc-cdn.ysp.cctv.cn/ysp/2000204603.m3u8#http://27.148.240.138/PLTV/88888888/224/3221226769/1.m3u8#http://hw-m-l.cztv.com/channels/lantian/channel16/1080p.m3u8#http://112.50.243.8/PLTV/88888888/224/3221226565/1.m3u8#http://210.22.242.108/live-cnc-cdn.ysp.cctv.cn/ysp/2000204603.m3u8#http://mlive1.91kds.cn/b9/aishang.m3u8?id=cctv13
CCTV14HD,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226229/1.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226126/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226565/index.m3u8#http://120.221.5.50:8089/PLTV/88888888/224/3221225765/index.m3u8
CCTV15HD,http://111.13.111.167/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226333/1.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225818/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226112/index.m3u8#http://36.159.12.236/PLTV/88888888/224/3221226426/index.m3u8#http://120.241.133.167/outlivecloud-cdn.ysp.cctv.cn/cctv/2000205003.m3u8
CCTV17HD,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226990/1.m3u8#http://111.13.111.167/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8 
中华美食,http://183.207.248.71:80/cntv/live1/SD-4000k-576P-zhmeishi/SD-4000k-576P-zhmeishi
央视文化精品,http://39.135.19.162:18890/PLTV/88888888/224/3221225675/1/index.m3u8?fmt=ts2hls
兵器科技,http://39.135.19.162:18890/PLTV/88888888/224/3221225676/1/index.m3u8?fmt=ts2hls
女性时尚,http://39.135.19.162:18890/PLTV/88888888/224/3221225699/1/index.m3u8?fmt=ts2hls
第一剧场,http://39.135.19.162:18890/PLTV/88888888/224/3221225702/1/index.m3u8?fmt=ts2hls
风云音乐,http://39.135.19.162:18890/PLTV/88888888/224/3221225698/1/index.m3u8?fmt=ts2hls
风云剧场,http://39.135.19.162:18890/PLTV/88888888/224/3221225700/1/index.m3u8?fmt=ts2hls
怀旧剧场,http://39.135.19.162:18890/PLTV/88888888/224/3221225765/1/index.m3u8?fmt=ts2hls
世界地理,http://39.135.19.162:18890/PLTV/88888888/224/3221225733/1/index.m3u8?fmt=ts2hls


卫视,#genre#
凤凰资讯HD,http://112.50.243.8/PLTV/88888888/224/3221225901/1.m3u8#http://live.centerch.com/fhzx.m3u8#https://81e0996f61b8eabc6b95e3a16c274256.live.prod.hkatv.com/p1_cbr_lo.m3u8#http://112.50.243.8//PLTV/88888888/224/3221225901/1.m3u8#http://106.54.30.243/gz009/gz.php?id=fhzx#http://117.169.120.138:8080/live/fhzixun/1.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225901/index.m3u8#http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221226923/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226491/index.m3u8#http://dl.zhoujie218.top/dl/gz168.php?id=3&xl=1#http://dl.zhoujie218.top/dl/gz168.php?id=3&xl=2#http://dl.zhoujie218.top/dl/gz168.php?id=3&xl=3
凤凰中文HD,http://112.17.40.140/PLTV/88888888/224/3221226368/index.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225900/1.m3u8#http://live.centerch.com/fhzw.m3u8#rtmp://58.200.131.2:1935/livetv/fhzw#http://221.179.217.70/PLTV/88888888/224/3221225942/1.m3u8#http://dl.zhoujie218.top/dl/gz168.php?id=2&xl=1#http://dl.zhoujie218.top/dl/gz168.php?id=2&xl=2#http://dl.zhoujie218.top/dl/gz168.php?id=2&xl=3
江苏卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226567/index.m3u8#http://120.221.5.113:8089/PLTV/88888888/224/3221225923/index.m3u8
湖南卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226569/index.m3u8#http://120.221.5.101:8089/PLTV/88888888/224/3221225824/index.m3u8#http://120.241.133.167/outlivecloud-cdn.ysp.cctv.cn/cctv/2000296203.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226241/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226553/index.m3u8#http://ivi.bupt.edu.cn/hls/hunanhd.m3u8
浙江卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226474/index.m3u8#http://120.221.5.113:8089/PLTV/88888888/224/3221225926/index.m3u8
东方卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226549/index.m3u8#http://120.221.5.113:8089/PLTV/88888888/224/3221225925/index.m3u8#http://120.241.133.167/outlivecloud-cdn.ysp.cctv.cn/cctv/2000292403.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226237/1.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=044&Provider_id=&Pcontent_id=index.m3u8
深圳卫视HD,http://120.221.5.113:8089/PLTV/88888888/224/3221226043/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226543/index.m3u8#http://183.232.184.143/outlivecloud-cdn.ysp.cctv.cn/cctv/2000292203.m3u8#http://120.241.133.167/outlivecloud-cdn.ysp.cctv.cn/cctv/2000292203.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226245/1.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=002&Provider_id=&Pcontent_id=index.m3u8#http://ivi.bupt.edu.cn/hls/szhd.m3u8
广东卫视HD,http://120.221.5.113:8089/PLTV/88888888/224/3221225966/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226408/index.m3u8
北京卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226545/index.m3u8#http://120.221.5.113:8089/PLTV/88888888/224/3221225848/index.m3u8#http://120.241.133.167/outlivecloud-cdn.ysp.cctv.cn/cctv/2000272101.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8#http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=003&Provider_id=&Pcontent_id=index.m3u8#http://ivi.bupt.edu.cn/hls/btv1hd.m3u8
天津卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226488/index.m3u8
安徽卫视,http://120.221.5.113:8089/PLTV/88888888/224/3221225974/index.m3u8
东南卫视,http://112.17.40.140/PLTV/88888888/224/3221226134/index.m3u8
云南卫视,http://112.17.40.140/PLTV/88888888/224/3221226241/index.m3u8
兵团卫视,http://112.17.40.140/PLTV/88888888/224/3221226186/index.m3u8
内蒙古卫视,http://112.17.40.140/PLTV/88888888/224/3221226174/index.m3u8
吉林卫视,http://112.17.40.140/PLTV/88888888/224/3221226158/index.m3u8
四川卫视,http://112.17.40.140/PLTV/88888888/224/3221226215/index.m3u8
宁夏卫视,http://112.17.40.140/PLTV/88888888/224/3221226209/index.m3u8
山东卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226587/index.m3u8
山东教育卫视,http://112.17.40.140/PLTV/88888888/224/3221226652/index.m3u8
山西卫视,http://112.17.40.140/PLTV/88888888/224/3221226114/index.m3u8
广西卫视,http://112.17.40.140/PLTV/88888888/224/3221226211/index.m3u8
新疆卫视,http://112.17.40.140/PLTV/88888888/224/3221226124/index.m3u8
旅游卫视,http://112.17.40.140/PLTV/88888888/224/3221226116/index.m3u8
江西卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226128/index.m3u8#http://120.221.5.113:8089/PLTV/88888888/224/3221225939/index.m3u8#http://120.241.133.167/outlivecloud-cdn.ysp.cctv.cn/cctv/2000294101.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226243/1.m3u8#http://118.123.60.6:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=010&Provider_id=&Pcontent_id=index.m3u8#http://ivi.bupt.edu.cn/hls/jxhd.m3u8

河南卫视,http://112.17.40.140/PLTV/88888888/224/3221226130/index.m3u8
湖北卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226494/index.m3u8#http://120.241.133.167/outlivecloud-cdn.ysp.cctv.cn/cctv/2000294501.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226310/1.m3u8#http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=005&Provider_id=&Pcontent_id=index.m3u8#http://ivi.bupt.edu.cn/hls/hbhd.m3u8
甘肃卫视,http://112.17.40.140/PLTV/88888888/224/3221226187/index.m3u8
西藏卫视,http://112.17.40.140/PLTV/88888888/224/3221226160/index.m3u8
贵州卫视,http://112.17.40.140/PLTV/88888888/224/3221226146/index.m3u8
辽宁卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226148/index.m3u8
重庆卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226217/index.m3u8
陕西卫视,http://112.17.40.140/PLTV/88888888/224/3221226177/index.m3u8
黑龙江卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226492/index.m3u8
江西4K音乐现场,http://jxgz.jilu8.cn/PLTV/88888888/224/3221225978/2/index.m3u8?fmt=ts2hls#http://39.135.140.14:6610/PLTV/88888888/224/3221225978/2/index.m3u8?fmt=ts2hls
江苏4K电影,http://122.97.211.219:8114/FvSeid=59c0f7255fb3c888&Fsv_filetype=1&Fsv_ctype=LIVE&Fsv_cid=11684&Fsv_otype=0&Provider_id=&Pcontent_id=
美食天府,http://www.dszbdq.cn/diao/cd.php?id=/2763/17#http://ott.cqccn.com/PLTV/88888888/224/3221227565/index.m3u8

香港,#genre#
TVB 翡翠台,http://103.140.229.13/zbtv/zxxg.php?id=1&xl=1#http://pullstream-ucan.speedws.com/live/5fd8819db4b8a5da0497167c8c6fdd4f.flv#http://cdn.elibei.com/pull?pinyin=tvbfc#http://59.148.18.47/lhtv/dl2/xg168.php?id=1&xl=2
翡翠台S,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Pcontent_id=&Provider_id=&Fsv_chan_hls_se_idx=188
翡翠台B,http://danielwu.gz01.bdysite.com/iptv/?id=tvb#http://61.238.6.49:8000/bysid/1
TVB 明珠台,http://138.19.127.53:9981/stream/channelid/521374115#http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=12&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1,tvming-XGMingZhu
HKS卫视 高清,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8#http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8#http://zhibo.hkstv.tv/livestream/mutfysrq.flv
凤凰卫视资讯台,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225949/1.m3u8
凤凰卫视资讯台,http://112.17.40.140/PLTV/88888888/224/3221226491/index.m3u8
凤凰卫视中文台,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225948/1.m3u8
凤凰卫视中文台,http://112.17.40.140/PLTV/88888888/224/3221226368/index.m3u8
翡翠明珠,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=12&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
翡翠综合,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=188&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv&_res_tag_=video
亚旅卫视,http://hls.jingchangkan.tv/jingchangkan/156722438_0HaM/index.m3u8
TVB功夫,http://dlhdl-cdn.zhanqi.tv/zqlive/291236_97IGR.flv#https://dlhls-cdn-mp.zhanqi.tv/zqlive/291236_97IGR.m3u8
怀旧经典,https://dlhls-cdn-mp.zhanqi.tv/zqlive/295519_JkFS8.m3u8
TVB港剧一台,https://dlhls-cdn-mp.zhanqi.tv/zqlive/123407_XhQs9.m3u8
TVB港剧二台,https://dlhls-cdn-mp.zhanqi.tv/zqlive/154733_xcVyM.m3u8
探索频道,rtmp://ivi.bupt.edu.cn:1935/livetv/discovery
国家地理,rtmp://ivi.bupt.edu.cn:1935/livetv/natlgeo
国家地理,rtmp://58.200.131.2:1935/livetv/natlgeo
探索频道,rtmp://58.200.131.2:1935/livetv/discovery#rtmp://58.200.131.3:1935/livetv/discovery#rtmp://58.200.131.2:1935/livetv/discovery
星空卫视,https://www.fanmingming.cn/hls/startv.m3u8#rtmp://58.200.131.2:1935/livetv/startv#rtmp://ivi.bupt.edu.cn:1935/livetv/startv
有线新闻HD①,http://pullstream-ucan.speedws.com/live/ddf782da216cacbedbf40515532b842c.flv#http://pullstream-ucan.speedws.com/live/7cf260daf64ede7c1a9ded814dcb9850.flv#http://cdn.elibei.com/pull?pinyin=pmyxxw&play=1#http://cdn.elibei.com/pull?pinyin=yxxw#http://59.148.18.47/lhtv/dl2/xg168.php?id=31&xl=2
有线新闻B,http://www.dszbdq.cn/play/hk22.php?id=yxxw#http://www.dszbdq.cn/play/xgyx.php?id=yxxwhd#http://liveicm.utvlive.top/live/4cc64fb362004798b222978935590b2c/1980ba5c365e4f049f99aced1277303c-3.m3u8#http://liveicm.utvlive.top/live/4cc64fb362004798b222978935590b2c/1980ba5c365e4f049f99aced1277303c-2.m3u8#http://mott.cdn.cmi.chinamobile.com/livehls/MOB-SCC/index.m3u8
TVB無線新聞台,http://dl.zhoujie218.top/dl/gz168.php?id=9&xl=3#http://dl.zhoujie218.top/dl/tvb.php?id=1#http://dl.zhoujie218.top/dl/gz168.php?id=9&xl=1#http://dl.zhoujie218.top/dl/gz168.php?id=9&xl=2#http://dl.zhoujie218.top/dl/gz168.php?id=9&xl=4
